Tanggal,Tn,Tx,Tavg,RH_avg,ff_avg,RR
01-01-1990,25,32.8,29.1,75,2,0
02-01-1990,26,31,26.4,86,1,0
03-01-1990,25,31.6,27.9,76,2,17.2
04-01-1990,25,30.8,28,81,2,34.8
05-01-1990,25,29.8,27.2,86,2,6.1
06-01-1990,26,31.2,27.3,82,2,6.2
07-01-1990,26,31.6,27.5,82,6,8888
08-01-1990,24,27.8,24.9,91,3,63.4
09-01-1990,23,28.2,27,84,3,66.2
10-01-1990,25,31.4,27.5,84,2,1.8
11-01-1990,25,31.4,28.3,81,2,6.2
12-01-1990,26,27.8,26.7,85,3,0
13-01-1990,24,31.3,27.9,81,3,30.3
14-01-1990,25,31.2,28.3,77,4,8.3
15-01-1990,26,32,28.8,81,4,4.6
16-01-1990,26,31,28.7,76,2,0
17-01-1990,26,33.2,27.8,92,3,0
18-01-1990,25,31.3,27.6,82,2,12.3
19-01-1990,25,30.6,26.7,86,5,4.3
20-01-1990,24,28,26.5,86,4,88.1
21-01-1990,25,30.2,26.9,83,4,68.3
22-01-1990,22,32,27.3,83,2,23.6
23-01-1990,24,31.8,28,79,2,31.4
24-01-1990,25,32,29.1,72,3,39.2
25-01-1990,25,33,29.7,70,4,39
26-01-1990,27,32.6,28.7,72,4,8888
27-01-1990,25,32.8,29,74,3,0.6
28-01-1990,24,32.8,27.4,80,2,0
29-01-1990,24,27.4,26.9,80,2,29.9
30-01-1990,24,30.6,26.7,84,2,1.7
31-01-1990,24,31,27.8,82,2,10
01-02-1990,26,31.5,28,77,2,0
02-02-1990,25,31.5,28.2,74,3,8888
03-02-1990,26,31.8,29.2,77,3,0
04-02-1990,26,31.6,28,81,3,0
05-02-1990,24,31.4,27.2,81,1,10.2
06-02-1990,25,31,27.9,69,1,0
07-02-1990,25,31.8,27.8,64,1,0
08-02-1990,24,30.6,27,71,1,30.2
09-02-1990,24,32.2,27.7,72,2,0
10-02-1990,24,32,28,66,3,0
11-02-1990,25,32.1,28.5,67,2,0
12-02-1990,25,32.4,28,62,2,0
13-02-1990,25,32.8,28.2,61,2,0
14-02-1990,25,32.1,28.6,66,2,0
15-02-1990,25,32,28.4,66,2,0
16-02-1990,26,32.4,28.6,66,2,0
17-02-1990,26,32,27.8,68,2,8888
18-02-1990,24,32,27.6,62,2,0
19-02-1990,24,31.8,27.9,65,2,0
20-02-1990,25,32.5,28.4,62,2,0
21-02-1990,25,32.2,28.6,64,2,0.8
22-02-1990,25,32.4,28.7,62,2,0
23-02-1990,25,32.6,28.3,67,2,0
24-02-1990,24,32.4,28.9,62,2,0.9
25-02-1990,25,32.8,28.6,66,2,0
26-02-1990,26,32.8,28.4,70,3,0
27-02-1990,26,32.6,28.5,68,4,0
28-02-1990,27,32.2,28,76,5,0
01-03-1990,24,32,29.4,75,3,43
02-03-1990,27,33,29.2,73,3,0
03-03-1990,27,33.7,29,76,4,0
04-03-1990,26,32.2,28.3,76,4,0
05-03-1990,24,30.6,27.9,82,3,1.7
06-03-1990,25,30.3,27.6,85,2,29.6
07-03-1990,25,32,27.2,80,2,1.2
08-03-1990,25,29.6,27.9,76,3,1.3
09-03-1990,26,32.6,29,75,4,0
10-03-1990,27,32.6,27.3,81,2,0
11-03-1990,24,30.8,27,84,4,24.8
12-03-1990,23,29.6,25.2,84,7,29
13-03-1990,23,28,24.4,95,6,39.2
14-03-1990,23,28.6,26.4,86,5,110.5
15-03-1990,25,32.2,27.8,82,3,36.2
16-03-1990,25,32.6,27.3,78,2,3.1
17-03-1990,25,31.8,28.2,76,2,0
18-03-1990,26,33.9,29.3,74,2,0
19-03-1990,25,32.6,27.7,82,2,0
20-03-1990,25,32.7,29.1,79,2,2
21-03-1990,25,32.8,28.6,81,3,0
22-03-1990,25,32.4,28.8,77,4,0
23-03-1990,26,32.2,28.1,79,2,0
24-03-1990,25,31.2,27.1,83,1,0.6
25-03-1990,25,32.4,27.5,78,2,0
26-03-1990,26,31.8,27.8,78,2,0
27-03-1990,25,31.6,28.1,78,2,0
28-03-1990,25,31.2,28.2,81,4,0
29-03-1990,25,32.2,28.2,81,3,0
30-03-1990,25,32.7,27.7,80,2,0
31-03-1990,24,31.8,27.9,81,2,7.9
01-04-1990,24,32.2,28.5,81,2,0
02-04-1990,25,32.4,28.3,80,2,0
03-04-1990,25,32.2,25.7,83,3,8888
04-04-1990,25,32.2,27.5,82,3,33.3
05-04-1990,25,31.8,28.8,79,3,0
06-04-1990,25,31.8,28.8,79,4,0
07-04-1990,24,32.4,28.7,78,3,0
08-04-1990,27,32.6,27.2,74,2,0
09-04-1990,23,31.8,27.1,80,2,0
10-04-1990,24,31.6,27.4,80,2,0
11-04-1990,24,32.5,27.9,83,3,0
12-04-1990,24,32,28.1,79,2,0
13-04-1990,25,32,27.8,82,2,0
14-04-1990,25,32.2,28.4,78,1,0
15-04-1990,25,32.2,28.1,80,2,0
16-04-1990,25,32.2,28.6,82,1,0
17-04-1990,25,32.4,27.7,82,1,0
18-04-1990,25,32,28.1,87,2,0
19-04-1990,25,32.6,28.1,82,2,0
20-04-1990,24,31.6,27.2,85,2,19.7
21-04-1990,25,32,28.2,80,2,6
22-04-1990,25,32,27.5,82,2,1.2
23-04-1990,25,32,28.8,68,2,8888
24-04-1990,27,33,28.3,80,2,0
25-04-1990,26,31.6,27.3,85,2,0
26-04-1990,25,32,28.2,82,2,0
27-04-1990,25,31.8,27,86,2,8888
28-04-1990,25,31.8,27.3,79,3,2.5
29-04-1990,24,31,25.7,76,2,0
30-04-1990,21,31.2,28.3,73,3,0
01-05-1990,25,31.6,26.9,70,3,0
02-05-1990,23,31.7,27.6,80,4,0
03-05-1990,25,31.4,28.1,78,4,0.5
04-05-1990,25,31,27.6,77,4,0
05-05-1990,25,31.5,27.1,78,4,0
06-05-1990,23,31.4,27.1,84,3,0
07-05-1990,24,31.2,27.3,80,2,95.7
08-05-1990,24,30.8,27.2,86,1,0
09-05-1990,25,31.1,28,84,2,8.4
10-05-1990,26,31.4,27.8,85,4,0
11-05-1990,25,31,28.3,80,5,12.5
12-05-1990,27,31.2,27.9,81,4,0
13-05-1990,25,30.6,28,82,2,8888
14-05-1990,26,31.2,27.3,83,1,0
15-05-1990,24,31.2,27.1,86,3,0
16-05-1990,25,31.4,28.3,83,1,0.5
17-05-1990,26,31,28.2,86,1,0
18-05-1990,26,31.8,27.5,84,1,0
19-05-1990,25,32,27.9,82,2,0
20-05-1990,25,32.2,27.9,82,1,0
21-05-1990,24,31.8,27.6,83,2,0
22-05-1990,24,31.2,27.9,82,2,0
23-05-1990,26,31.2,28.2,83,5,0
24-05-1990,26,29.2,27.6,88,5,16.9
25-05-1990,26,31.2,28.1,84,5,1.1
26-05-1990,27,30.4,27.5,86,4,0
27-05-1990,26,30.8,27.1,82,3,2.7
28-05-1990,25,30,26.5,82,3,0
29-05-1990,24,29.6,26.1,84,4,8888
30-05-1990,23,29.4,26.9,77,4,2.8
31-05-1990,24,30,27,76,4,0
01-06-1990,24,29.6,26.3,77,2,0
02-06-1990,24,30.4,26.9,78,2,0
03-06-1990,24,31,29,74,4,0
04-06-1990,26,30.6,28,79,6,0
05-06-1990,27,30.8,28.3,77,6,1.2
06-06-1990,24,30.4,26.5,82,4,0
07-06-1990,23,30.2,25.3,74,3,0
08-06-1990,22,30.5,25.6,76,3,0
09-06-1990,22,30.4,25.6,77,2,0
10-06-1990,22,30,25,77,2,0
11-06-1990,21,30,26.3,77,2,0
12-06-1990,23,30.6,25.9,77,2,0
13-06-1990,23,30.2,26.8,76,3,0
14-06-1990,24,30.1,25.9,76,3,8888
15-06-1990,24,30.3,26.6,79,4,0.7
16-06-1990,25,30.4,25.9,79,4,1
17-06-1990,24,30.6,26.8,76,6,0
18-06-1990,25,30.8,27.7,74,5,0
19-06-1990,25,31.2,27.8,73,5,8888
20-06-1990,26,30.5,26.4,78,3,0.5
21-06-1990,24,30,24.9,82,2,4.2
22-06-1990,22,30.4,26.5,80,2,0
23-06-1990,24,30.6,27.5,82,5,0
24-06-1990,25,30.2,25.5,78,6,0.8
25-06-1990,23,30.4,26,83,5,0
26-06-1990,24,30.2,26,82,4,0
27-06-1990,24,30.8,26.8,80,4,0
28-06-1990,25,30.4,25.6,81,3,0
29-06-1990,23,30,26.1,78,4,6
30-06-1990,24,30.2,27.4,78,6,0
01-07-1990,26,30.4,27.8,76,7,0
